id,Segment,Country,Product,Units Sold,Manufacturing,Sale Price,Gross Sales,Discounts,Discount Band,Sales,COGS,Profit,Date,Month Number,Month Name
214,intangible,Philippines,mattis,1512,115.28,159.336,240916.032,,None,240916.032,66612.672,66612.672,6/15/2015 0:00,6,June
215,Sharable,Lithuania,dignissim,1196,240.5,303.6,363105.6,,None,363105.6,75467.6,75467.6,1/29/2011 0:00,1,January
216,executive,United Kingdom,potenti,2529,197.98,296.576,750040.704,,None,750040.704,249349.284,249349.284,2/14/2019 0:00,2,February
217,complexity,China,ornare,284,73.86,120.632,34259.488,,None,34259.488,13283.248,13283.248,12/21/2017 0:00,12,December
218,Streamlined,China,rhoncus,22,242.75,453.3,9972.6,,None,9972.6,4632.1,4632.1,1/28/2014 0:00,1,January
219,systematic,Indonesia,dictumst,3308,189.6,387.52,1281916.16,,None,1281916.16,654719.36,654719.36,2/15/2020 0:00,2,February
220,moratorium,Chad,nunc,4190,10.51,153.612,643634.28,,None,643634.28,599597.38,599597.38,1/23/2015 0:00,1,January
221,function,Finland,diam,3545,15.07,173.084,613582.78,,None,613582.78,560159.63,560159.63,2/12/2017 0:00,2,February
222,foreground,France,consectetuer,3929,57.25,131.7,517449.3,,None,517449.3,292514.05,292514.05,8/27/2013 0:00,8,August
223,Advanced,Indonesia,ultrices,1540,133.6,162.32,249972.8,0.06,Discount Applied,249972.8,44228.8,44228.8,6/24/2010 0:00,6,June
224,Focused,Ukraine,nulla,88,218.3,346.96,30532.48,,None,30532.48,11322.08,11322.08,4/12/2016 0:00,4,April
225,encoding,Ukraine,ante,2540,217.04,271.448,689477.92,,None,689477.92,138196.32,138196.32,3/20/2016 0:00,3,March
226,impactful,Zambia,convallis,1881,51.22,221.464,416573.784,,None,416573.784,320228.964,320228.964,10/31/2014 0:00,10,October
227,dynamic,Indonesia,nisi,1045,154.65,300.58,314106.1,0.01,Discount Applied,314106.1,152496.85,152496.85,12/2/2017 0:00,12,December
228,Future-proofed,Bulgaria,mauris,4,168.05,241.66,966.64,,None,966.64,294.44,294.44,5/3/2019 0:00,5,May
229,Integrated,Portugal,potenti,3335,198.68,351.416,1171972.36,,None,1171972.36,509374.56,509374.56,9/9/2018 0:00,9,September
230,Open-source,Ukraine,sapien,3093,213.9,407.68,1260954.24,,None,1260954.24,599361.54,599361.54,1/9/2019 0:00,1,January
231,asymmetric,Indonesia,adipiscing,1787,155.59,277.708,496264.196,,None,496264.196,218224.866,218224.866,3/9/2015 0:00,3,March
232,Fully-configurable,Honduras,nam,4091,37.36,146.832,600689.712,0.09,Discount Applied,600689.712,447849.952,447849.952,10/31/2018 0:00,10,October
233,4th generation,Philippines,venenatis,2859,161.04,248.248,709741.032,0.09,Discount Applied,709741.032,249327.672,249327.672,7/2/2016 0:00,7,July
234,Fully-configurable,China,eget,215,91.88,144.256,31015.04,,None,31015.04,11260.84,11260.84,4/24/2016 0:00,4,April
235,Assimilated,Greece,integer,2312,234.62,298.544,690233.728,,None,690233.728,147792.288,147792.288,7/15/2011 0:00,7,July
236,mobile,Philippines,mauris,4470,179.4,341.28,1525521.6,,None,1525521.6,723603.6,723603.6,10/16/2014 0:00,10,October
237,zero tolerance,China,integer,584,198.62,418.344,244312.896,,None,244312.896,128318.816,128318.816,3/25/2016 0:00,3,March
238,logistical,Thailand,integer,3548,150.37,271.444,963083.312,,None,963083.312,429570.552,429570.552,10/3/2010 0:00,10,October
239,Optional,Albania,vehicula,2141,242.41,486.892,1042435.772,,None,1042435.772,523435.962,523435.962,4/11/2020 0:00,4,April
240,implementation,Indonesia,suspendisse,3012,71,131.2,395174.4,,None,395174.4,181322.4,181322.4,10/12/2011 0:00,10,October
241,Object-based,China,pede,339,161.33,207.596,70375.044,0.06,Discount Applied,70375.044,15684.174,15684.174,2/5/2011 0:00,2,February
242,initiative,China,pede,519,133.49,328.188,170329.572,0.05,Discount Applied,170329.572,101048.262,101048.262,10/30/2010 0:00,10,October
243,asynchronous,Indonesia,morbi,716,233.21,430.852,308490.032,,None,308490.032,141511.672,141511.672,9/22/2015 0:00,9,September
244,global,Russia,nisi,1546,85.52,129.624,200398.704,,None,200398.704,68184.784,68184.784,3/14/2018 0:00,3,March
245,Phased,United States,tortor,4353,248.55,397.26,1729272.78,,None,1729272.78,647334.63,647334.63,6/6/2012 0:00,6,June
246,Universal,Czech Republic,interdum,2221,137.78,212.336,471598.256,,None,471598.256,165588.876,165588.876,6/13/2017 0:00,6,June
247,directional,Sweden,consequat,1445,207.64,406.168,586912.76,,None,586912.76,286872.96,286872.96,3/2/2011 0:00,3,March
248,human-resource,Ecuador,lacinia,2294,146.32,313.584,719361.696,,None,719361.696,383703.616,383703.616,2/9/2021 0:00,2,February
249,standardization,China,bibendum,2157,124.11,307.932,664209.324,,None,664209.324,396504.054,396504.054,1/10/2012 0:00,1,January
250,time-frame,Indonesia,non,4388,155.92,333.104,1461660.352,,None,1461660.352,777483.392,777483.392,4/22/2014 0:00,4,April
251,frame,Philippines,curabitur,3190,103.13,224.756,716971.64,,None,716971.64,387986.94,387986.94,7/12/2015 0:00,7,July
252,Adaptive,China,luctus,3715,191.31,320.572,1190924.98,,None,1190924.98,480208.33,480208.33,4/10/2017 0:00,4,April
253,alliance,Russia,varius,4417,118.16,221.792,979655.264,,None,979655.264,457742.544,457742.544,11/4/2014 0:00,11,November
254,Fully-configurable,China,volutpat,814,49.32,126.184,102713.776,,None,102713.776,62567.296,62567.296,9/14/2013 0:00,9,September
255,Graphic Interface,Czech Republic,nulla,4362,219.08,389.896,1700726.352,,None,1700726.352,745099.392,745099.392,9/6/2015 0:00,9,September
256,Mandatory,China,volutpat,1064,12.85,68.42,72798.88,,None,72798.88,59126.48,59126.48,8/26/2012 0:00,8,August
257,Polarised,Bangladesh,nunc,2887,20.23,48.276,139372.812,,None,139372.812,80968.802,80968.802,4/19/2017 0:00,4,April
258,full-range,Honduras,lectus,1543,240.62,387.744,598288.992,,None,598288.992,227012.332,227012.332,6/8/2018 0:00,6,June
259,Ameliorated,Malaysia,odio,2576,187.87,374.444,964567.744,,None,964567.744,480614.624,480614.624,1/15/2011 0:00,1,January
260,Business-focused,Czech Republic,odio,4317,92.35,219.82,948962.94,,None,948962.94,550287.99,550287.99,7/31/2017 0:00,7,July
261,logistical,Yemen,nunc,1571,92.96,160.552,252227.192,,None,252227.192,106187.032,106187.032,9/9/2015 0:00,9,September
262,executive,China,nulla,779,194.94,393.928,306869.912,,None,306869.912,155011.652,155011.652,3/4/2020 0:00,3,March
263,superstructure,China,id,3084,230.44,418.528,1290740.352,,None,1290740.352,580063.392,580063.392,9/12/2020 0:00,9,September
264,Upgradable,China,in,3181,195.05,269.06,855879.86,,None,855879.86,235425.81,235425.81,6/3/2017 0:00,6,June
265,bottom-line,Brazil,purus,2817,210.09,296.108,834136.236,,None,834136.236,242312.706,242312.706,10/16/2011 0:00,10,October
266,coherent,Russia,morbi,1400,238.16,393.792,551308.8,,None,551308.8,217884.8,217884.8,6/15/2021 0:00,6,June
267,fresh-thinking,Indonesia,ac,3550,241.48,483.776,1717404.8,,None,1717404.8,860150.8,860150.8,6/21/2012 0:00,6,June
268,Team-oriented,China,donec,4386,243.38,307.056,1346747.616,,None,1346747.616,279282.936,279282.936,8/17/2017 0:00,8,August
269,Stand-alone,Russia,vestibulum,1407,202.24,442.688,622862.016,,None,622862.016,338310.336,338310.336,5/30/2020 0:00,5,May
270,website,Japan,blandit,1111,94.7,227.64,252908.04,,None,252908.04,147696.34,147696.34,4/24/2012 0:00,4,April
271,utilisation,Philippines,erat,312,17.07,129.484,40399.008,,None,40399.008,35073.168,35073.168,12/20/2011 0:00,12,December
272,encoding,Portugal,et,2814,201.47,438.764,1234681.896,,None,1234681.896,667745.316,667745.316,2/16/2022 0:00,2,February
273,Upgradable,Portugal,a,4358,54.97,105.964,461791.112,,None,461791.112,222231.852,222231.852,4/29/2012 0:00,4,April
274,Graphical User Interface,Sri Lanka,mauris,2806,242.06,358.472,1005872.432,0.02,Discount Applied,1005872.432,326652.072,326652.072,1/1/2013 0:00,1,January
275,multi-tasking,Russia,eros,3585,130.88,198.056,710030.76,,None,710030.76,240825.96,240825.96,2/6/2016 0:00,2,February
276,zero tolerance,Brazil,amet,3315,32.98,135.576,449434.44,,None,449434.44,340105.74,340105.74,5/24/2020 0:00,5,May
277,productivity,Nigeria,dapibus,640,182.84,276.408,176901.12,0.01,Discount Applied,176901.12,59883.52,59883.52,12/20/2021 0:00,12,December
278,foreground,Lebanon,congue,459,186.39,324.668,149022.612,,None,149022.612,63469.602,63469.602,10/22/2018 0:00,10,October
279,De-engineered,Colombia,commodo,1417,233.95,323.74,458739.58,,None,458739.58,127232.43,127232.43,7/6/2019 0:00,7,July
280,service-desk,China,habitasse,2890,138.04,204.648,591432.72,,None,591432.72,192497.12,192497.12,7/23/2014 0:00,7,July
281,analyzing,Guatemala,lorem,132,74.01,121.812,16079.184,,None,16079.184,6309.864,6309.864,5/3/2015 0:00,5,May
282,Down-sized,Canada,lacus,2297,46.2,189.44,435143.68,0.04,Discount Applied,435143.68,329022.28,329022.28,10/14/2017 0:00,10,October
283,uniform,Ukraine,volutpat,1462,85.53,255.636,373739.832,,None,373739.832,248694.972,248694.972,10/26/2015 0:00,10,October
284,human-resource,Poland,volutpat,4293,226.29,289.548,1243029.564,,None,1243029.564,271566.594,271566.594,2/10/2021 0:00,2,February
285,Public-key,Brazil,faucibus,1073,19.7,61.64,66139.72,,None,66139.72,45001.62,45001.62,1/5/2012 0:00,1,January
286,firmware,Poland,sagittis,3512,126.89,261.268,917573.216,,None,917573.216,471935.536,471935.536,8/15/2014 0:00,8,August
287,contextually-based,United States,vulputate,892,61.66,122.992,109708.864,,None,109708.864,54708.144,54708.144,3/11/2011 0:00,3,March
288,Customer-focused,Brazil,gravida,1632,119.15,204.98,334527.36,,None,334527.36,140074.56,140074.56,7/4/2014 0:00,7,July
289,intermediate,United States,in,3049,107.16,267.592,815888.008,,None,815888.008,489157.168,489157.168,8/22/2010 0:00,8,August
290,Triple-buffered,China,augue,2288,187.9,248.48,568522.24,,None,568522.24,138607.04,138607.04,2/24/2019 0:00,2,February
291,protocol,China,mauris,2844,104.57,255.484,726596.496,,None,726596.496,429199.416,429199.416,12/29/2012 0:00,12,December
292,Pre-emptive,Ghana,ac,794,87.15,245.58,194990.52,,None,194990.52,125793.42,125793.42,8/18/2011 0:00,8,August
293,Switchable,Benin,rhoncus,1586,90.01,299.012,474233.032,0.03,Discount Applied,474233.032,331477.172,331477.172,8/23/2012 0:00,8,August
294,Virtual,Philippines,in,2366,172.28,238.736,564849.376,,None,564849.376,157234.896,157234.896,5/4/2014 0:00,5,May
295,Versatile,Colombia,non,3215,68.72,278.464,895261.76,,None,895261.76,674326.96,674326.96,12/12/2015 0:00,12,December
296,Automated,China,nunc,1100,245.76,454.912,500403.2,,None,500403.2,230067.2,230067.2,7/9/2011 0:00,7,July
297,neutral,Paraguay,elementum,647,86.69,210.028,135888.116,,None,135888.116,79799.686,79799.686,2/22/2013 0:00,2,February
298,firmware,Jamaica,donec,4352,134.57,351.484,1529658.368,,None,1529658.368,944009.728,944009.728,2/27/2012 0:00,2,February
299,implementation,Norway,consequat,3862,179.48,301.376,1163914.112,,None,1163914.112,470762.352,470762.352,4/28/2020 0:00,4,April
300,Devolved,Sweden,eros,1647,81.8,122.16,201197.52,,None,201197.52,66472.92,66472.92,8/19/2014 0:00,8,August
301,archive,Indonesia,eget,2697,15.59,38.708,104395.476,,None,104395.476,62349.246,62349.246,6/28/2016 0:00,6,June
302,analyzer,Poland,consequat,3240,45.71,247.852,803040.48,,None,803040.48,654940.08,654940.08,9/3/2010 0:00,9,September
303,Cross-platform,Indonesia,donec,3221,34.06,213.872,688881.712,,None,688881.712,579174.452,579174.452,12/18/2011 0:00,12,December
304,process improvement,China,aliquam,410,248.03,302.636,124080.76,,None,124080.76,22388.46,22388.46,3/13/2015 0:00,3,March
305,open system,Mexico,quam,3537,177.8,337.36,1193242.32,,None,1193242.32,564363.72,564363.72,7/16/2010 0:00,7,July
306,stable,China,amet,4253,203.35,305.02,1297250.06,,None,1297250.06,432402.51,432402.51,4/28/2011 0:00,4,April
307,stable,Croatia,tellus,3512,154.13,345.956,1214997.472,,None,1214997.472,673692.912,673692.912,8/20/2014 0:00,8,August
308,complexity,China,sed,2121,172.57,211.084,447709.164,,None,447709.164,81688.194,81688.194,10/3/2016 0:00,10,October
309,Inverse,China,porttitor,1076,191.35,254.62,273971.12,,None,273971.12,68078.52,68078.52,6/13/2012 0:00,6,June
310,throughput,Canada,ridiculus,2280,155.28,305.336,696166.08,,None,696166.08,342127.68,342127.68,3/22/2016 0:00,3,March
311,Future-proofed,Comoros,non,113,89.48,207.376,23433.488,,None,23433.488,13322.248,13322.248,11/13/2015 0:00,11,November
312,Switchable,Japan,fusce,3729,36.77,139.124,518793.396,,None,518793.396,381678.066,381678.066,8/15/2014 0:00,8,August
313,framework,Czech Republic,quis,3975,29.47,90.364,359196.9,,None,359196.9,242053.65,242053.65,9/15/2012 0:00,9,September
314,4th generation,China,ultrices,4109,75.34,176.408,724860.472,,None,724860.472,415288.412,415288.412,3/26/2013 0:00,3,March
315,Cloned,Ukraine,orci,3288,15.89,74.068,243535.584,,None,243535.584,191289.264,191289.264,4/13/2015 0:00,4,April
316,service-desk,Greece,dictumst,3652,248.82,482.584,1762396.768,,None,1762396.768,853706.128,853706.128,10/7/2016 0:00,10,October
317,Robust,Brazil,lacus,3716,208.42,341.104,1267542.464,,None,1267542.464,493053.744,493053.744,12/22/2019 0:00,12,December
318,User-centric,Indonesia,sit,4430,83.54,194.248,860518.64,,None,860518.64,490436.44,490436.44,2/14/2016 0:00,2,February
319,bi-directional,Greece,tortor,1111,8.64,188.368,209276.848,,None,209276.848,199677.808,199677.808,4/23/2012 0:00,4,April
320,Horizontal,Japan,justo,3990,229.77,348.724,1391408.76,,None,1391408.76,474626.46,474626.46,11/19/2013 0:00,11,November
321,Reactive,Brazil,ut,3706,230.03,321.036,1189759.416,,None,1189759.416,337268.236,337268.236,10/12/2021 0:00,10,October
322,Business-focused,Ireland,quis,2832,167.75,242.3,686193.6,,None,686193.6,211125.6,211125.6,6/19/2010 0:00,6,June
323,Assimilated,Tanzania,quam,2177,177.25,363.7,791774.9,,None,791774.9,405901.65,405901.65,9/28/2021 0:00,9,September
324,Programmable,Brazil,porttitor,1385,167.77,299.324,414563.74,,None,414563.74,182202.29,182202.29,12/27/2017 0:00,12,December
325,regional,Sweden,duis,2563,5.45,16.54,42392.02,,None,42392.02,28423.67,28423.67,2/27/2018 0:00,2,February
326,analyzing,Iran,eget,2050,38.02,78.624,161179.2,,None,161179.2,83238.2,83238.2,10/6/2012 0:00,10,October
327,User-friendly,Philippines,primis,1560,218.84,326.608,509508.48,,None,509508.48,168118.08,168118.08,3/28/2014 0:00,3,March
328,hybrid,Russia,et,3812,112.85,324.42,1236689.04,0.06,Discount Applied,1236689.04,806504.84,806504.84,10/5/2013 0:00,10,October
329,Robust,Philippines,interdum,1008,221.08,353.296,356122.368,,None,356122.368,133273.728,133273.728,10/18/2021 0:00,10,October
330,productivity,Mexico,sit,979,61.44,130.728,127982.712,0.09,Discount Applied,127982.712,67832.952,67832.952,12/27/2013 0:00,12,December
331,regional,Portugal,lobortis,1454,91.01,127.212,184966.248,,None,184966.248,52637.708,52637.708,12/4/2012 0:00,12,December
332,system engine,Guatemala,in,2491,243.51,455.212,1133933.092,,None,1133933.092,527349.682,527349.682,12/19/2016 0:00,12,December
333,Advanced,Indonesia,primis,3677,242.12,417.544,1535309.288,,None,1535309.288,645034.048,645034.048,11/18/2014 0:00,11,November
334,frame,China,donec,1261,227.89,431.468,544081.148,,None,544081.148,256711.858,256711.858,9/28/2016 0:00,9,September
335,non-volatile,Portugal,ut,2085,172.4,339.88,708649.8,,None,708649.8,349195.8,349195.8,1/26/2015 0:00,1,January
336,Face to face,France,turpis,3810,232.31,307.772,1172611.32,,None,1172611.32,287510.22,287510.22,6/9/2021 0:00,6,June
337,client-server,Argentina,feugiat,2455,25.74,190.888,468630.04,,None,468630.04,405438.34,405438.34,10/9/2019 0:00,10,October
338,Monitored,China,sociis,3377,198.37,306.044,1033510.588,,None,1033510.588,363615.098,363615.098,12/14/2010 0:00,12,December
339,needs-based,Guatemala,congue,2545,104.59,177.508,451757.86,,None,451757.86,185576.31,185576.31,1/30/2017 0:00,1,January
340,extranet,Indonesia,euismod,641,136.16,318.392,204089.272,,None,204089.272,116810.712,116810.712,5/16/2013 0:00,5,May
341,neutral,South Korea,mi,2113,7.27,109.724,231846.812,,None,231846.812,216485.302,216485.302,7/23/2019 0:00,7,July
342,dynamic,Argentina,nulla,3042,33.96,154.752,470755.584,,None,470755.584,367449.264,367449.264,12/10/2015 0:00,12,December
343,moratorium,Indonesia,tortor,4116,196.53,395.836,1629260.976,,None,1629260.976,820343.496,820343.496,1/12/2012 0:00,1,January
344,challenge,Philippines,lorem,3174,87.52,172.024,546004.176,,None,546004.176,268215.696,268215.696,11/17/2014 0:00,11,November
345,Reverse-engineered,Poland,mauris,1723,35.44,53.528,92228.744,,None,92228.744,31165.624,31165.624,8/23/2018 0:00,8,August
346,moratorium,China,felis,2568,31.37,226.644,582021.792,,None,582021.792,501463.632,501463.632,1/4/2014 0:00,1,January
347,tertiary,Indonesia,felis,895,158.19,365.828,327416.06,,None,327416.06,185836.01,185836.01,11/8/2015 0:00,11,November
348,process improvement,Brazil,vel,1726,61.46,124.752,215321.952,,None,215321.952,109241.992,109241.992,6/30/2021 0:00,6,June
349,Extended,Japan,ultrices,1378,241.58,294.896,406366.688,0.07,Discount Applied,406366.688,73469.448,73469.448,1/6/2020 0:00,1,January
350,solution,Finland,nulla,3873,97.39,237.868,921262.764,,None,921262.764,544071.294,544071.294,6/3/2019 0:00,6,June
351,algorithm,France,ipsum,2462,8.96,134.752,331759.424,,None,331759.424,309699.904,309699.904,1/1/2021 0:00,1,January
352,fresh-thinking,China,et,751,40.32,161.384,121199.384,,None,121199.384,90919.064,90919.064,10/25/2019 0:00,10,October
353,alliance,Czech Republic,vitae,2200,189.82,427.784,941124.8,0.07,Discount Applied,941124.8,523520.8,523520.8,1/21/2018 0:00,1,January
354,synergy,China,vel,192,83.48,285.176,54753.792,,None,54753.792,38725.632,38725.632,2/26/2021 0:00,2,February
355,access,Canada,natoque,1502,247.28,353.736,531311.472,,None,531311.472,159896.912,159896.912,4/7/2018 0:00,4,April
356,bandwidth-monitored,Canada,curae,2265,44.01,220.812,500139.18,,None,500139.18,400456.53,400456.53,8/23/2014 0:00,8,August
357,logistical,China,sit,3926,119.6,260.52,1022801.52,0.07,Discount Applied,1022801.52,553251.92,553251.92,4/30/2021 0:00,4,April
358,optimizing,Russia,tincidunt,2241,66.28,148.536,332869.176,,None,332869.176,184335.696,184335.696,6/19/2020 0:00,6,June
359,executive,Ireland,est,2308,231.65,302.98,699277.84,,None,699277.84,164629.64,164629.64,10/6/2017 0:00,10,October
360,grid-enabled,France,at,835,186.2,358.44,299297.4,,None,299297.4,143820.4,143820.4,12/1/2013 0:00,12,December
361,Advanced,China,interdum,1946,99.18,258.016,502099.136,,None,502099.136,309094.856,309094.856,12/23/2018 0:00,12,December
362,monitoring,Nicaragua,ac,1697,208.83,278.596,472777.412,,None,472777.412,118392.902,118392.902,10/2/2016 0:00,10,October
363,customer loyalty,Sweden,ipsum,2702,90.65,112.78,304731.56,,None,304731.56,59795.26,59795.26,8/8/2011 0:00,8,August
364,Stand-alone,China,et,4001,86.1,246.32,985526.32,,None,985526.32,641040.22,641040.22,2/5/2020 0:00,2,February
365,info-mediaries,Indonesia,orci,1779,92.94,116.528,207303.312,,None,207303.312,41963.052,41963.052,2/22/2019 0:00,2,February
366,Optimized,Ethiopia,eget,1365,117.05,177.46,242232.9,,None,242232.9,82459.65,82459.65,2/4/2021 0:00,2,February
367,methodical,Poland,pellentesque,2297,162.21,202.652,465491.644,,None,465491.644,92895.274,92895.274,1/1/2020 0:00,1,January
368,value-added,Thailand,libero,3539,127.56,314.072,1111500.808,0.02,Discount Applied,1111500.808,660065.968,660065.968,12/2/2017 0:00,12,December
369,well-modulated,Greece,tristique,3865,112.18,329.616,1273965.84,,None,1273965.84,840390.14,840390.14,12/26/2012 0:00,12,December
370,needs-based,Portugal,diam,3521,92.03,276.436,973331.156,,None,973331.156,649293.526,649293.526,3/9/2011 0:00,3,March
371,installation,Brazil,sit,3918,178.31,275.972,1081258.296,,None,1081258.296,382639.716,382639.716,2/18/2021 0:00,2,February
372,internet solution,Madagascar,orci,406,106.58,131.896,53549.776,0.03,Discount Applied,53549.776,10278.296,10278.296,1/9/2016 0:00,1,January
373,discrete,Indonesia,tincidunt,3534,213.82,396.584,1401527.856,,None,1401527.856,645887.976,645887.976,4/20/2012 0:00,4,April
374,fresh-thinking,Nigeria,aliquet,3396,226.82,315.184,1070364.864,,None,1070364.864,300084.144,300084.144,3/4/2022 0:00,3,March
375,Synergized,United States,cubilia,2620,219.58,368.496,965459.52,,None,965459.52,390159.92,390159.92,2/21/2018 0:00,2,February
376,Managed,Indonesia,cursus,4027,185.4,342.48,1379166.96,,None,1379166.96,632561.16,632561.16,9/18/2010 0:00,9,September
377,holistic,Ukraine,pulvinar,2573,54.57,122.484,315151.332,,None,315151.332,174742.722,174742.722,8/6/2013 0:00,8,August
378,incremental,Russia,in,3898,187.12,228.544,890864.512,,None,890864.512,161470.752,161470.752,6/2/2013 0:00,6,June
379,database,Indonesia,tempus,3554,138.02,338.624,1203469.696,,None,1203469.696,712946.616,712946.616,5/18/2020 0:00,5,May
380,array,Madagascar,iaculis,1110,134.96,331.952,368466.72,,None,368466.72,218661.12,218661.12,11/17/2010 0:00,11,November
381,support,China,orci,1745,139.6,320.52,559307.4,,None,559307.4,315705.4,315705.4,8/14/2016 0:00,8,August
382,Configurable,Brazil,blandit,1533,31.88,98.256,150626.448,0.07,Discount Applied,150626.448,101754.408,101754.408,5/18/2016 0:00,5,May
383,Triple-buffered,Russia,curabitur,3879,27.46,219.952,853193.808,,None,853193.808,746676.468,746676.468,5/26/2017 0:00,5,May
384,internet solution,South Africa,tristique,4372,179.14,309.968,1355180.096,,None,1355180.096,571980.016,571980.016,11/6/2015 0:00,11,November
385,solution,Brazil,tortor,4039,193.08,232.696,939859.144,0.09,Discount Applied,939859.144,160009.024,160009.024,6/3/2012 0:00,6,June
386,Operative,Japan,risus,800,48.28,165.936,132748.8,,None,132748.8,94124.8,94124.8,10/13/2013 0:00,10,October
387,analyzer,Ecuador,a,1385,46.29,195.548,270833.98,,None,270833.98,206722.33,206722.33,5/4/2016 0:00,5,May
388,dynamic,France,semper,1718,127.15,267.58,459702.44,,None,459702.44,241258.74,241258.74,10/22/2016 0:00,10,October
389,projection,Morocco,lacus,1486,105.18,249.216,370334.976,,None,370334.976,214037.496,214037.496,10/18/2018 0:00,10,October
390,info-mediaries,United States,primis,2312,134.32,243.184,562241.408,,None,562241.408,251693.568,251693.568,2/2/2021 0:00,2,February
391,Enhanced,Poland,sed,2526,215.83,375.996,949765.896,,None,949765.896,404579.316,404579.316,12/30/2010 0:00,12,December
392,implementation,Palau,massa,2324,178.72,259.464,602994.336,,None,602994.336,187649.056,187649.056,3/26/2017 0:00,3,March
393,intangible,Philippines,porttitor,2303,150.55,183.66,422968.98,0.09,Discount Applied,422968.98,76252.33,76252.33,2/18/2013 0:00,2,February
394,project,Brazil,massa,1785,76.2,124.44,222125.4,,None,222125.4,86108.4,86108.4,2/15/2015 0:00,2,February
395,toolset,Iran,odio,627,92.13,219.556,137661.612,,None,137661.612,79896.102,79896.102,10/29/2013 0:00,10,October
396,dynamic,China,curae,2814,141.7,360.04,1013152.56,,None,1013152.56,614408.76,614408.76,10/30/2020 0:00,10,October
397,Synergistic,China,dignissim,2262,148,194.6,440185.2,,None,440185.2,105409.2,105409.2,1/29/2011 0:00,1,January
398,Stand-alone,China,lectus,989,133.25,318.9,315392.1,,None,315392.1,183607.85,183607.85,1/16/2014 0:00,1,January
399,bi-directional,Pakistan,habitasse,3793,168.75,256.5,972904.5,,None,972904.5,332835.75,332835.75,11/2/2016 0:00,11,November
400,algorithm,France,donec,1395,155.23,314.276,438415.02,,None,438415.02,221869.17,221869.17,5/21/2022 0:00,5,May
401,Upgradable,Tunisia,tristique,712,62.75,235.3,167533.6,,None,167533.6,122855.6,122855.6,9/10/2010 0:00,9,September
402,bottom-line,China,mauris,1192,7.05,83.46,99484.32,0.05,Discount Applied,99484.32,91080.72,91080.72,10/24/2010 0:00,10,October
403,Robust,Pakistan,diam,4374,1.93,156.316,683726.184,,None,683726.184,675284.364,675284.364,3/1/2015 0:00,3,March
404,Business-focused,Brazil,lobortis,836,25.54,229.648,191985.728,,None,191985.728,170634.288,170634.288,3/5/2017 0:00,3,March
405,portal,Ireland,orci,3297,63.71,195.452,644405.244,,None,644405.244,434353.374,434353.374,2/22/2019 0:00,2,February
406,De-engineered,Philippines,vestibulum,422,188.06,338.672,142919.584,,None,142919.584,63558.264,63558.264,7/10/2012 0:00,7,July
407,Ergonomic,China,duis,58,44.33,84.196,4883.368,,None,4883.368,2312.228,2312.228,9/3/2021 0:00,9,September
408,flexibility,Honduras,dapibus,951,27.99,39.588,37648.188,,None,37648.188,11029.698,11029.698,10/18/2013 0:00,10,October
409,groupware,Indonesia,quisque,3156,139.36,184.232,581436.192,,None,581436.192,141616.032,141616.032,9/3/2013 0:00,9,September
410,national,Cyprus,orci,944,152.58,227.096,214378.624,,None,214378.624,70343.104,70343.104,4/10/2013 0:00,4,April
411,Polarised,Philippines,eros,430,248.04,376.648,161958.64,,None,161958.64,55301.44,55301.44,8/1/2021 0:00,8,August
412,synergy,United States,diam,3510,146.41,370.692,1301128.92,,None,1301128.92,787229.82,787229.82,1/23/2013 0:00,1,January
413,real-time,Malaysia,mus,1005,181.78,219.136,220231.68,,None,220231.68,37542.78,37542.78,10/10/2014 0:00,10,October
414,Right-sized,Pakistan,nisl,608,177.14,343.568,208889.344,0.07,Discount Applied,208889.344,101188.224,101188.224,1/13/2022 0:00,1,January
415,projection,Indonesia,consequat,1352,39.71,116.652,157713.504,,None,157713.504,104025.584,104025.584,12/2/2017 0:00,12,December
416,3rd generation,Philippines,ante,3047,233.63,451.356,1375281.732,,None,1375281.732,663411.122,663411.122,6/29/2016 0:00,6,June
417,5th generation,Brazil,amet,4097,92.05,118.46,485330.62,,None,485330.62,108201.77,108201.77,11/14/2015 0:00,11,November
418,productivity,Russia,congue,3380,196.84,409.208,1383123.04,,None,1383123.04,717803.84,717803.84,6/21/2011 0:00,6,June
419,foreground,Portugal,nonummy,1956,14.68,213.616,417832.896,,None,417832.896,389118.816,389118.816,11/6/2021 0:00,11,November
420,definition,Thailand,lacus,2724,164.08,357.896,974908.704,,None,974908.704,527954.784,527954.784,6/17/2020 0:00,6,June
421,De-engineered,Japan,ante,2915,65.13,270.156,787504.74,,None,787504.74,597650.79,597650.79,7/14/2012 0:00,7,July
422,user-facing,China,nunc,1611,176.88,236.256,380608.416,,None,380608.416,95654.736,95654.736,4/29/2019 0:00,4,April
423,Managed,Burkina Faso,scelerisque,545,95.22,278.264,151653.88,,None,151653.88,99758.98,99758.98,1/4/2022 0:00,1,January
424,bandwidth-monitored,Russia,nunc,2505,208.06,426.672,1068813.36,,None,1068813.36,547623.06,547623.06,1/20/2018 0:00,1,January
425,analyzer,Sweden,nam,2737,244.24,429.088,1174413.856,,None,1174413.856,505928.976,505928.976,5/3/2017 0:00,5,May
426,leading edge,China,id,333,167.69,284.228,94647.924,0.07,Discount Applied,94647.924,38807.154,38807.154,5/4/2013 0:00,5,May
